sap_no,part_no,part_description,planned_output,is_active
10030761,P002732,P002732 Top Cover GP,,1
10030763,P002733,P002733 Bottom Back GP,,1
10030764,P002734,P002734 Bottom Cover Reinf GP,,1
10030768,P002801,P002801 BBS Holder Front Reinf GP,,1
10030772,P002742,P002742 Rear Lock Row,,1
10030773,P002744,P002744 Drawer Body Big(Left) GP,,1
10030775,P002746,P002746 Drawer Back Big(Left) GP,,1
10030776,P002747,P002747 Drawer Body Middle GP,,1
10030777,P002748,P002748 Drawer Handle Middle GP,,1
10030778,P002749,P002749 Drawer Back Middle GP,,1
10030779,P002750,P002750 Drawer Body Extra Big(Left) GP,,1
10030781,P002752,P002752 Drawer Back Extra Big(Left) GP,,1
10034188,P002956,P002956 5″×2″ fixed caster,,1
10034189,P002957,P002957  5″×2″ brake caster,,1
10034192,P002938,P002938 Hexagonal flange bolt M8x35,,1
10034193,P003225,P003225 Hexagonal flange bolt M6x25,,1
10034194,P000952,P000952 Flange nut M6,,1
10034385,P002951,P002951 Box GP,,1
10034386,P002952,P002952 BBS Holder Front Left GP,,1
10034387,P002953,P002953 BBS Holder Front Right GP,,1
10034388,P002954,P002954 BBS Holder Rear Left GP,,1
10034389,P002955,P002955 BBS Holder Rear Right GP,,1
20004290,P002758,P002758 Foam edge guard 912x50x50,,1
20004296,P002759,P002759  Carton with casters,,1
20004937,PM030252,PM030252 TC-2707TSR five-sided carton,,1
20004938,PM030253,PM030253 Carton with casters,,1
20004941,PM036063,PM036063 Floor cover carton,,1
20004947,PM080430,PM080430 Carton mark,,1
20004954,PM050227,PM050227 EPE foam 600x500x1,,1
20004957,PM050293,PM050293 Foam board 615x912x20,,1
20004958,PM050294,PM050294 Foam board 492x912x20,,1
20004959,PM050295,PM050295 Foam board 670x535x20,,1
20004977,PM040150,PM040150 Plastic bag 1500x1700,,1
20004988,PM080428,PM080428 TC-2707TSR large warning label,,1
20004989,PM080429,PM080429 TC-2707TSR color sticker,,1
20005001,PM090140,PM090140 TC-2707TSR English manual,,1
20005030,PM990001,PM990001 Sealing glue,,1
20005031,PM990002,PM990002 White packaging tape,,1
20005032,PM990003,PM990003 Tape,,1
20005251,PM080497,PM080497 TC-2707TSR large warning label,,1
20005252,PM080498,PM080498 TC-2707TSR color sticker,,1
20005253,PM080499,PM080499 Box label,,1
20005254,PM080500,PM080500 TC-2707TSBLU large warning label,,1
20005255,PM080501,PM080501 TC-2707TSBLU color sticker,,1
20005256,PM080502,PM080502 Box label,,1
20005257,PM080503,PM080503 TC-2707TSR large warning label,,1
20005258,PM080504,PM080504 TC-2707TSR color sticker,,1
20005259,PM080505,PM080505 Box label,,1
30022112,U000433,U000433 Box Paint,160,1
30022113,U000433,U000433 Box  Weld,15,1
30022114,U000433,U000433 Box Spot,10.28571429,1
30022115,P002732,P002732 Top Cover Spot,360,1
30022116,P002732,P002732 Top Cover Bend,200,1
30022117,P002732,P002732 Top Cover IPC,,1
30022119,P002733,P002733 Bottom Back Bend,400,1
30022120,P002733,P002733 Bottom Back IPC,,1
30022121,P002734,P002734 Bottom Cover Reinf Bend,133.3333333,1
30022130,P002801,P002801 BBS Holder Front Reinf Laser,276.9230769,1
30022139,U000434,U000434 Drawer Big(Left) Paint,160,1
30022140,U000434,U000434 Drawer Big(Left) Spot,32.72727273,1
30022141,P002744,P002744 Drawer Body Big(Left) Bend,100,1
30022142,P002744,P002744 Drawer Body Big(Left) Press,50,1
30022146,P002746,P002746 Drawer Back Big(Left) Bend,400,1
30022147,U000435,U000435 Drawer Middle Paint,160,1
30022148,U000435,U000435 Drawer Middle Spot,24,1
30022149,P002747,P002747 Drawer Body Middle Bend,100,1
30022150,P002747,P002747 Drawer Body Middle Press,50,1
30022151,P002748,P002748 Drawer Handle Middle Bend,400,1
30022152,P002748,P002748 Drawer Handle Middle Press,300,1
30022154,P002749,P002749 Drawer Back Middle Bend,400,1
30022155,U000436,U000436 Drawer Extra Big(Left) Paint,160,1
30022156,U000436,U000436 Drawer Extra Big(Left) Spot,24,1
30022157,P002750,P002750 Drawer Body Extra Big(Left) Bend,100,1
30022158,P002750,P002750 Drawer Body Extra Big(Left) Press,50,1
30022159,P002751,P002751 Drawer Handle Extra Big(Left) Bend,400,1
30022160,P002751,P002751 Drawer Handle Extra Big(Left) Press,300,1
30022162,P002752,P002752 Drawer Back Extra Big(Left) Bend,400,1
30023053,P002626,P002626 Cover Support Spot,112.5,1
30023054,P002742,P002742 Rear Lock Row Press,300,1
30023055,P002801,P002801 BBS Holder Front Reinf Bend,200,1
30023056,P002951,P002951 Box Bend ,66.66666667,1
30023057,P002951,P002951 Box Press,150,1
30023058,P002951,P002951 Box Spot,10.14084507,1
30023059,P002952,P002952 BBS Holder Front Left Press,300,1
30023060,P002952,P002952 BBS Holder Front Left Spot,72,1
30023061,P002953,P002953 BBS Holder Front Right Press,300,1
30023062,P002953,P002953 BBS Holder Front Right Spot,72,1
30023063,P002954,P002954 BBS Holder Rear Left Press,300,1
30023064,P002955,P002955 BBS Holder Rear Right Press,300,1
30023552,U000433BLK,U000433BLK Box Paint,160,1
30023553,U000434BLK,U000434BLK Drawer Big(Left) Paint,160,1
30023554,U000435BLK,U000435BLK Drawer Middle Paint,160,1
30023555,U000436BLK,U000436BLK Drawer Extra Big(Left) Paint,160,1
30023556,U000433BLU,U000433BLU Box Paint,160,1
30023557,U000434BLU,U000434BLU Drawer Big(Left) Paint,160,1
30023558,U000435BLU,U000435BLU Drawer Middle Paint,160,1
30023559,U000436BLU,U000436BLU Drawer Extra Big(Left) Paint,160,1
30023560,U000433GRY,U000433GRY Box Paint,160,1
30023561,U000434GRY,U000434GRY Drawer Big(Left) Paint,160,1
30023562,U000435GRY,U000435GRY Drawer Middle Paint,160,1
30023563,U000436GRY,U000436GRY Drawer Extra Big(Left) Paint,160,1
40012178,TC-2707TSR,TC-2707TSR,37.5,1
40013806,TC-2707TSBLK,TC-2707TSBLK,37.5,1
40013808,TC-2707TSGRY,TC-2707TSGRY,37.5,1
40013810,TC-2707TSBLU,TC-2707TSBLU,37.5,1
10028460,P000305,P000305 Open iron rivet 4x6,,1
10030443,P002719,P002719  Lock hook,,1
10030446,U000190,U000190 Round lock head assembly,,1
10030447,P002722,P002722  SH15 handle,,1
10030448,P000431,P000431 M8 welding nut,,1
10030449,P002768,P002768  Flat washer 18x8.5x1.2,,1
10030450,P002769,P002769 Hexagonal bolt M8x16,,1
